name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
angular,85963,22872,3042,23002,TypeScript,"['TypeScript', 'JavaScript', 'Starlark', 'HTML', 'CSS', 'SCSS', 'Shell', 'NASL', 'jq', 'Less']",26098.0,2014-09-18T16:12:01Z,MIT License
nodebestpractices,85298,8827,1824,898,JavaScript,"['JavaScript', 'Dockerfile', 'CSS', 'HTML', 'TypeScript', 'Shell']",3756.0,2017-09-15T08:33:19Z,Creative Commons Attribution Share Alike 4.0 International
tech-interview-handbook,85165,11164,1865,489,TypeScript,"['TypeScript', 'JavaScript', 'Python', 'HTML', 'CSS', 'Shell']",1235.0,2016-07-05T05:00:48Z,MIT License
PowerToys,84945,4902,1079,4196,C#,"['C#', 'C++', 'C', 'PowerShell', 'HTML', 'HLSL', 'Batchfile', 'JavaScript']",6403.0,2019-05-01T17:44:02Z,MIT License
material-ui,84079,28929,1355,18215,JavaScript,"['JavaScript', 'TypeScript', 'HTML']",21181.0,2014-08-18T19:11:54Z,MIT License
ant-design,83881,37875,191,13158,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Shell', 'HTML']",24377.0,2015-04-24T15:37:24Z,MIT License
puppeteer,81581,8779,1212,3645,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Dockerfile', 'Shell']",3157.0,2017-05-09T22:16:13Z,Apache License 2.0
vue-element-admin,80368,29155,2231,564,Vue,"['Vue', 'JavaScript', 'SCSS', 'CSS', 'Handlebars', 'HTML']",1019.0,2017-04-17T03:35:49Z,MIT License
java-design-patterns,79195,24507,3828,1594,Java,"['Java', 'HTML', 'CSS']",3425.0,2014-08-09T16:45:18Z,Other
transformers,78476,17621,882,10426,Python,"['Python', 'Cuda', 'Shell', 'Dockerfile', 'C++', 'C', 'Cython', 'Makefile', 'Jsonnet']",11827.0,2018-10-29T13:56:00Z,Apache License 2.0
clean-code-javascript,78115,10525,1813,264,JavaScript,['JavaScript'],544.0,2016-11-25T22:25:41Z,MIT License
animate.css,76855,16371,2272,781,CSS,"['CSS', 'HTML', 'JavaScript', 'Shell']",662.0,2011-10-12T10:07:38Z,Other
rust,76791,10249,1482,59982,Rust,"['Rust', 'JavaScript', 'Python', 'HTML', 'Makefile', 'Fluent', 'Shell', 'TypeScript', 'C++', 'Dockerfile']",215425.0,2010-06-16T20:39:03Z,Other
storybook,76186,8064,952,9602,TypeScript,"['TypeScript', 'JavaScript', 'Vue', 'Svelte', 'HTML', 'CSS', 'EJS', 'Pug', 'Handlebars', 'Shell']",47366.0,2016-03-18T04:23:44Z,MIT License
scrcpy,75617,7973,1106,334,C,"['C', 'Java', 'Roff', 'Meson', 'Shell', 'Makefile', 'AIDL', 'VBScript', 'Batchfile']",1866.0,2017-11-21T18:00:27Z,Apache License 2.0
thefuck,75287,3308,836,656,Python,"['Python', 'Dockerfile', 'Shell']",1636.0,2015-04-08T15:08:04Z,MIT License
models,75034,46137,2796,3705,Python,"['Python', 'Jupyter Notebook', 'C++', 'Shell', 'Starlark', 'Dockerfile']",8746.0,2016-02-05T01:15:20Z,Other
LeetCodeAnimation,72188,13794,2607,74,Java,"['Java', 'Python', 'C++']",246.0,2018-12-06T08:01:22Z,
laravel,72093,23309,4522,4418,PHP,"['PHP', 'Blade', 'Shell', 'JavaScript']",6817.0,2011-06-08T03:06:08Z,
realworld,71818,6701,1558,464,TypeScript,"['TypeScript', 'CSS', 'HTML', 'JavaScript', 'Shell']",745.0,2016-02-26T20:49:53Z,MIT License
Font-Awesome,70761,12286,1385,660,JavaScript,"['JavaScript', 'SCSS', 'CSS', 'Less']",11.0,2012-02-17T14:19:43Z,Other
papers-we-love,68553,5054,3117,492,Shell,['Shell'],854.0,2013-12-15T14:31:41Z,
django,68303,28486,2267,16442,Python,"['Python', 'HTML', 'JavaScript', 'CSS', 'Shell', 'Smarty', 'Makefile', 'Procfile']",31423.0,2012-04-28T02:47:18Z,"BSD 3-Clause ""New"" or ""Revised"" License"
FiraCode,68292,2946,707,175,Clojure,"['Clojure', 'Shell', 'Python', 'HTML', 'CSS', 'PureBasic', 'Dockerfile', 'Makefile']",571.0,2014-11-11T19:32:38Z,SIL Open Font License 1.1
advanced-java,68233,17999,2608,114,Java,"['Java', 'JavaScript']",726.0,2018-10-06T11:38:30Z,Creative Commons Attribution Share Alike 4.0 International
bitcoin,67829,33644,3940,18632,C++,"['C++', 'Python', 'C', 'M4', 'Shell', 'Makefile', 'Sage', 'CMake', 'Assembly', 'Scheme']",36411.0,2010-12-19T15:16:43Z,MIT License
awesome-vue,67474,9228,2153,3735,,,4994.0,2015-10-20T00:16:14Z,MIT License
every-programmer-should-know,67275,6410,1988,160,,,282.0,2017-08-24T13:18:26Z,Creative Commons Attribution 4.0 International
opencv,66028,53700,2634,13620,C++,"['C++', 'C', 'Python', 'CMake', 'Java', 'Objective-C++', 'Cuda', 'Swift', 'JavaScript', 'Objective-C']",32627.0,2012-07-19T09:40:17Z,Apache License 2.0
gin,65937,7185,1373,1483,Go,"['Go', 'Makefile']",1660.0,2014-06-16T23:57:25Z,MIT License
free-for-dev,65535,7128,1556,2623,HTML,['HTML'],4802.0,2015-03-18T21:06:26Z,
json-server,65148,6439,1019,348,JavaScript,"['JavaScript', 'HTML', 'CSS', 'Shell']",855.0,2013-11-27T13:21:13Z,MIT License
spring-boot,65140,37831,3386,5529,Java,"['Java', 'Kotlin', 'HTML', 'Shell', 'JavaScript', 'Groovy', 'Ruby', 'Smarty', 'Dockerfile', 'Batchfile']",41135.0,2012-10-19T15:02:57Z,Apache License 2.0
moby,64960,18464,2970,22934,Go,"['Go', 'Shell', 'Dockerfile', 'PowerShell', 'Makefile', 'Python', 'C', 'HCL', 'Assembly']",45444.0,2013-01-18T18:10:57Z,Apache License 2.0
svelte,64936,3175,873,3230,TypeScript,"['TypeScript', 'Svelte', 'JavaScript']",6949.0,2016-11-20T18:13:05Z,MIT License
hugo,64849,6993,1066,4213,Go,"['Go', 'HTML', 'Shell', 'Dockerfile']",7388.0,2013-07-04T15:26:26Z,Apache License 2.0
Web-Dev-For-Beginners,64665,10079,2512,733,JavaScript,"['JavaScript', 'HTML', 'CSS', 'Vue']",1575.0,2020-11-10T02:44:00Z,MIT License
tailwindcss,64323,3278,580,2058,HTML,"['HTML', 'JavaScript', 'CSS', 'Rust', 'TypeScript', 'Shell', 'Svelte', 'SCSS']",4994.0,2017-10-06T14:59:14Z,MIT License
nvm,64100,6798,960,998,Shell,"['Shell', 'Makefile', 'Dockerfile', 'JavaScript']",2114.0,2010-04-15T17:47:47Z,MIT License
Front-End-Checklist,63819,6137,1478,292,,,697.0,2017-10-16T10:12:36Z,Creative Commons Zero v1.0 Universal
HelloGitHub,63713,8464,2714,31,Python,['Python'],145.0,2016-05-04T06:24:11Z,
frp,63656,11038,1559,622,Go,"['Go', 'Vue', 'JavaScript', 'Shell', 'HTML', 'Makefile', 'Less']",1034.0,2015-12-21T15:24:59Z,Apache License 2.0
mall,63170,26142,2206,104,Java,"['Java', 'Shell', 'Dockerfile']",917.0,2018-04-04T01:11:44Z,Apache License 2.0
reveal.js,62901,16433,1692,997,JavaScript,"['JavaScript', 'HTML', 'SCSS', 'CSS']",2950.0,2011-06-07T18:54:22Z,MIT License
xxl-job,23398,9779,951,411,Java,"['Java', 'Dockerfile']",1717.0,2015-11-28T12:59:34Z,GNU General Public License v3.0
Vundle.vim,23397,2568,711,241,Vim Script,"['Vim Script', 'Erlang']",629.0,2010-10-17T23:17:53Z,MIT License
poetry,23373,1883,184,2218,Python,"['Python', 'HTML']",2719.0,2018-02-28T15:23:47Z,MIT License
detectron2,23370,6375,366,556,Python,"['Python', 'Cuda', 'C++', 'Shell', 'Dockerfile', 'CMake']",1422.0,2019-09-05T21:30:20Z,Apache License 2.0
hammer.js,23362,2662,536,249,JavaScript,"['JavaScript', 'HTML', 'CSS']",1199.0,2012-03-02T12:58:28Z,MIT License
BaseRecyclerViewAdapterHelper,23353,4990,573,280,Java,"['Java', 'Kotlin']",1235.0,2016-04-10T07:40:11Z,MIT License
Clone-Wars,23351,1992,464,125,,,318.0,2020-12-02T11:10:16Z,GNU Affero General Public License v3.0
swagger-ui,23287,8578,658,3202,JavaScript,"['JavaScript', 'SCSS', 'HTML', 'Shell', 'Dockerfile', 'CSS']",5505.0,2011-07-15T22:56:39Z,Apache License 2.0
fastai,23280,7337,612,2155,Jupyter Notebook,"['Jupyter Notebook', 'Python', 'CSS']",2614.0,2017-09-09T17:43:36Z,Apache License 2.0
components,23270,6382,937,12602,TypeScript,"['TypeScript', 'SCSS', 'HTML', 'Starlark', 'JavaScript', 'CSS', 'Shell']",10501.0,2016-01-04T18:50:02Z,MIT License
devtools,23257,4031,521,408,TypeScript,"['TypeScript', 'Vue', 'JavaScript', 'HTML', 'Stylus', 'CSS']",2079.0,2014-09-29T03:52:07Z,MIT License
react-native-elements,23234,4498,377,1597,TypeScript,"['TypeScript', 'CSS', 'JavaScript', 'HTML', 'Handlebars', 'Shell']",2382.0,2016-09-08T14:21:41Z,MIT License
seata,23225,8274,862,2204,Java,"['Java', 'ANTLR', 'TypeScript', 'Shell', 'SCSS', 'Kotlin', 'Python', 'Batchfile', 'Less', 'Mustache']",1596.0,2018-12-28T08:37:22Z,Apache License 2.0
flutter-go,23218,3761,660,188,Dart,"['Dart', 'JavaScript', 'Ruby', 'Shell', 'Objective-C', 'Dockerfile', 'Swift', 'Kotlin']",754.0,2019-01-08T09:03:40Z,Other
Signal-Android,23215,5646,905,2651,Java,"['Java', 'Kotlin', 'Handlebars', 'Python', 'Dockerfile', 'CSS', 'C++', 'Makefile', 'JavaScript', 'Shell']",11494.0,2011-12-15T20:01:12Z,GNU General Public License v3.0
emscripten,23211,2981,602,10389,C,"['C', 'C++', 'JavaScript', 'Python', 'HTML', 'CMake', 'Assembly', 'Batchfile', 'NASL', 'Shell']",25085.0,2011-02-12T05:23:30Z,Other
Depix,23157,2838,399,28,Python,['Python'],54.0,2020-12-06T12:39:08Z,Other
plyr,23146,2745,418,529,JavaScript,"['JavaScript', 'SCSS']",2269.0,2015-02-14T11:33:07Z,MIT License
Hystrix,23139,4667,1650,805,Java,"['Java', 'Clojure', 'CSS', 'Groovy']",2109.0,2012-11-19T20:14:46Z,
nsq,23127,2819,845,802,Go,"['Go', 'JavaScript', 'Handlebars', 'Python', 'Shell', 'SCSS', 'CSS', 'HTML', 'Makefile', 'Dockerfile']",2256.0,2012-05-12T14:37:08Z,MIT License
gitlabhq,23126,5724,989,3621,Ruby,"['Ruby', 'JavaScript', 'Vue', 'PLpgSQL', 'Haml', 'HTML', 'SCSS', 'Go', 'Shell', 'Makefile']",109744.0,2011-10-02T16:25:27Z,Other
pytorch-image-models,23105,3830,292,300,Python,"['Python', 'Shell']",1685.0,2019-02-02T05:51:12Z,Apache License 2.0
mongo,23104,5413,1227,1501,C++,"['C++', 'JavaScript', 'Python', 'Shell', 'TLA', 'Yacc', 'C', 'Rich Text Format', 'Ruby', 'Smarty']",69767.0,2009-01-15T16:15:18Z,Other
RxSwift,23092,4043,540,1264,Swift,"['Swift', 'Objective-C', 'Shell', 'Ruby']",3635.0,2015-04-07T21:25:17Z,MIT License
docz,23081,1493,182,485,TypeScript,"['TypeScript', 'JavaScript', 'AppleScript', 'HTML', 'CSS']",1609.0,2018-03-17T04:24:10Z,MIT License
